Fiyat;Seri;Yıl;Kilometre;Vites;Yakıt;Renk;Motor Hacmi;Motor Gücü;Kasa Tipi;Log_Fiyat;Boya;Değişen;Marka_Audi;Marka_BMW;Marka_Chevrolet;Marka_Citroen;Marka_Fiat;Marka_Ford;Marka_Honda;Marka_Hyundai;Marka_Mercedes - Benz;Marka_Opel;Marka_Peugeot;Marka_Renault;Marka_Skoda;Marka_Toyota;Marka_Volkswagen
1199000.0;1199000.0;2014.0;197000;1;1;2;1500.5;113.0;9;13.99699926803766;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
1095000.0;829838.5428571429;2014.0;35000;1;0;2;1200.0;88.0;4;13.90626583447433;1;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
1249750.0;1383730.0;2016.0;280000;1;1;2;1500.5;113.0;8;14.03845488943553;9;1;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
1079900.0;1383730.0;2014.0;280000;1;1;2;1500.5;113.0;8;13.89237992823209;1;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
875000.0;1280278.5714285714;2018.0;215000;1;0;2;1300.5;113.0;4;13.68198030819624;3;2;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
1000020.0;1383730.0;2012.0;191000;2;0;2;1400.0;113.0;8;13.815531557743777;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
885000.0;1280278.5714285714;2015.0;215992;1;1;2;1598.0;90.0;4;13.69334405393293;3;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
509000.0;829838.5428571429;2013.0;211750;1;1;2;1199.0;75.0;4;13.140205260167273;9;1;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
2050000.0;1280278.5714285714;2025.0;6021;1;0;2;1498.0;116.0;4;14.53335083891935;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
295000.0;829838.5428571429;1999.0;175000;0;1;2;1598.0;75.0;4;12.59473402514672;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
985000.0;1280278.5714285714;2013.0;230000;1;0;2;1395.0;122.0;4;13.800397935382136;1;1;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
1435000.0;1280278.5714285714;2022.0;127000;1;0;2;999.0;110.0;4;14.176676104039728;2;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
1457000.0;1383730.0;2020.0;176000;1;0;2;1500.5;138.0;8;14.191890771518905;2;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
1595000.0;1383730.0;2018.0;173500;1;1;2;1598.0;120.0;8;14.282384921160132;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
779999.0;829838.5428571429;2016.0;190000;1;1;2;1500.5;88.0;4;13.567049198665774;7;1;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True
