Fiyat;Marka;Seri;Model;Yıl;Kilometre;Vites;Yakıt;Renk;Motor Hacmi;Motor Gücü;Kasa Tipi;İlan Tarihi;Boya-değişen;Araç Durumu;Link
120.000 TL;Renault;R 12;Toros;1989.0;250.000 km;;;;1201 - 1400 cm3;51 - 75 HP;Sedan;16 Ekim 2025;Tamamı boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-renault-r-12-toros/emrah-tan-binek-toros/33645510
455.000 TL;Renault;Symbol;1.2 Expression;2011.0;135.000 km;;;;1149 cc;75 hp;Sedan;16 Ekim 2025;1 değişen, 2 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-renault-symbol-1-2-expression/cakirlar-otomotiv-2011-renault-symbol-1-2expression-135000km/33645208
505.000 TL;Renault;Clio;1.5 dCi Joy;2014.0;258.000 km;;;;1461 cc;75 hp;Hatchback/5;16 Ekim 2025;5 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-renault-clio-1-5-dci-joy/renault-clio-sporttourer-1-5-dci-degisensiz/33645126
425.000 TL;Renault;Megane;1.5 dCi Extreme;2007.0;345.000 km;;;;1461 cc;80 hp;Sedan;16 Ekim 2025;Belirtilmemiş;İkinci El;https://www.arabam.com/ilan/sahibinden-satilik-renault-megane-1-5-dci-extreme/2-sahibinden-bakimli-arac/33636335
949.000 TL;Renault;Fluence;1.5 dCi Icon;2015.0;111.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Sedan;16 Ekim 2025;6 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-renault-fluence-1-5-dci-icon/mehmet-yilmaz-auto-dan-dolular-dolusu-111000-km-de-fluence/32142641
689.000 TL;Renault;Clio;1.5 dCi Joy;2017.0;179.000 km;;;;1461 cc;75 hp;Hatchback/5;16 Ekim 2025;Belirtilmemiş;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-renault-clio-1-5-dci-joy/2017-clio-1-5-dizel-tesla-ekran-yeni-lastik-bakimli-masrafsiz/33358944
1.060.000 TL;Renault;Megane;1.5 dCi Touch;2018.0;190.000 km;;;;1401 - 1600 cm3;101 - 125 HP;Sedan;16 Ekim 2025;1 değişen, 5 boyalı;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-renault-megane-1-5-dci-touch/otomatik-2018-megane-1-5-dci-touch/33356504
815.000 TL;Renault;Clio;0.9 TCe Touch;2020.0;136.000 km;;;;898 cc;90 hp;Hatchback/5;16 Ekim 2025;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/sahibinden-satilik-renault-clio-0-9-tce-touch/sahibinden-2020-clio-0-9-tce-turbo-tesla-ekran-orjinal-hatasiz-boyasiz-yeni-muayeneli/33631627
1.129.000 TL;Renault;Megane;1.5 dCi Joy;2017.0;94.000 km;;;;1461 cc;90 hp;Sedan;16 Ekim 2025;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-renault-megane-1-5-dci-joy/2017-sifir-gibi-megane-1-5-dizel-manuel-96-000km-hatasiz-boyasiz/33117527
1.120.000 TL;Renault;Megane;1.3 TCe Joy;2019.0;72.000 km;;;;1201 - 1400 cm3;126 - 150 HP;Sedan;16 Ekim 2025;Tamamı orjinal;İkinci El;https://www.arabam.com/ilan/galeriden-satilik-renault-megane-1-3-tce-joy/2019-model-boyasiz-tramersiz-degisensiz-1-3-tce-megane/33116925
