Fiyat;Marka;Seri;Model;Yıl;Kilometre;Vites;Yakıt;Renk;Motor Hacmi;Motor Gücü;Kasa Tipi;Boya-değişen;Log_Fiyat
236750.0;Volkswagen;Golf;1.8 GL;1994.0;185000;Düz;Dizel;;1700.5;88.0;Hatchback/5;Tamamı orjinal;12.37476423490424
1250000.0;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2013.0;190000;Otomatik;Dizel;;1500.5;113.0;Sedan;1 değişen, 1 boyalı;14.038654909278163
1250000.0;Volkswagen;Golf;1.4 TSi Highline;2015.0;129000;Otomatik;Benzin;;1395.0;125.0;Hatchback/5;Tamamı orjinal;14.038654909278163
1339500.0;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2014.0;246500;Otomatik;Dizel;;1598.0;120.0;Sedan;1 değişen, 1 boyalı;14.107807714513742
1630000.0;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2018.0;230000;Otomatik;Dizel;;1598.0;120.0;Sedan;Belirtilmemiş;14.30409118627969
835000.0;Volkswagen;Jetta;1.6 TDi Comfortline;2015.0;255000;Otomatik;Dizel;;1500.5;113.0;Sedan;4 boyalı;13.635188201437066
1025000.0;Volkswagen;Jetta;1.6 TDi Comfortline;2015.0;230000;Otomatik;Dizel;;1500.5;113.0;Sedan;1 değişen, 7 boyalı;13.840204146163924
1100000.0;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2012.0;230498;Yarı Otomatik;Dizel;;1598.0;105.0;Sedan;Belirtilmemiş;13.910821646859096
1085000.0;Volkswagen;Polo;1.0 Impression;2023.0;15000;Otomatik;Dizel;;999.0;80.0;Hatchback/5;Tamamı orjinal;13.897091466615258
1419000.0;Volkswagen;Golf;1.0 TSi Highline;2018.0;139000;Otomatik;Benzin;;999.0;110.0;Hatchback/5;1 değişen;14.165463660863566
650000.0;Volkswagen;Polo;1.4 Comfortline;2012.0;245000;Yarı Otomatik;Dizel;;1390.0;85.0;Hatchback/5;4 boyalı;13.384729180332174
650000.0;Volkswagen;Polo;1.4 Comfortline;2012.0;245000;Yarı Otomatik;Dizel;;1390.0;85.0;Hatchback/5;4 boyalı;13.384729180332174
698000.0;Volkswagen;Jetta;1.2 TSi Comfortline;2012.0;286000;Yarı Otomatik;Benzin;;1197.0;105.0;Sedan;Tamamı orjinal;13.45597581440824
1630000.0;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2017.0;220000;Otomatik;Dizel;;1500.5;113.0;Sedan;Belirtilmemiş;14.30409118627969
1490000.0;Volkswagen;Passat;1.5 TSi Business;2020.0;238000;Otomatik;Benzin;;1498.0;150.0;Sedan;Belirtilmemiş;14.214287349062356
1050000.0;Volkswagen;Golf;1.2 TSi Midline Plus;2016.0;190000;Otomatik;Benzin;;1200.0;113.0;Hatchback/5;Tamamı orjinal;13.864301674514206
335000.0;Volkswagen;Polo;1.4 Comfortline;2001.0;262000;Düz;Dizel;;1390.0;100.0;Hatchback/3;1 değişen;12.721888795877376
1745000.0;Volkswagen;Passat;1.5 TSi Business;2020.0;109000;Otomatik;Benzin;;1500.5;138.0;Sedan;Tamamı orjinal;14.372265686684402
2465000.0;Volkswagen;Golf;1.5 eTSI R Line;2024.0;18500;Otomatik;Benzin;;1498.0;150.0;Hatchback/5;Tamamı orjinal;14.717702771138358
1519000.0;Volkswagen;Passat;1.4 TSi BlueMotion Comfortline;2016.0;148000;Otomatik;Benzin;;1300.5;113.0;Sedan;Tamamı orjinal;14.23356343990554
1299900.0;Volkswagen;Polo;1.0 TSi Comfortline;2021.0;52500;Otomatik;Benzin;;1200.0;88.0;Hatchback/5;Tamamı orjinal;14.07779866568576
1985000.0;Volkswagen;Passat;1.4 TSi BlueMotion Highline;2018.0;84000;Otomatik;Benzin;;1300.5;113.0;Sedan;Belirtilmemiş;14.50112997588164
570000.0;Volkswagen;Jetta;1.6 TDi Trendline;2012.0;326500;Yarı Otomatik;Dizel;;1598.0;105.0;Sedan;1 değişen, 11 boyalı;13.25339339419516
1495000.0;Volkswagen;Passat;1.6 TDi BlueMotion Business;2020.0;162000;Otomatik;Dizel;;1500.5;113.0;Sedan;3 değişen, 2 boyalı;14.217637433703022
1150000.0;Volkswagen;Passat;1.4 TSi BlueMotion Comfortline;2011.0;138000;Yarı Otomatik;Benzin;;1390.0;122.0;Sedan;3 değişen, 2 boyalı;13.955273369904273
885000.0;Volkswagen;Polo;1.4 TDi Comfortline;2016.0;199000;Otomatik;Dizel;;1422.0;90.0;Hatchback/5;2 boyalı;13.69334405393293
815000.0;Volkswagen;Passat;1.4 TSi BlueMotion Trendline;2011.0;203000;Yarı Otomatik;Benzin;;1300.5;113.0;Sedan;2 değişen, 4 boyalı;13.610944619216111
857000.0;Volkswagen;Polo;1.4 Comfortline;2011.0;90000;Yarı Otomatik;Dizel;;1300.5;88.0;Hatchback/5;Belirtilmemiş;13.66119436444038
625000.0;Volkswagen;Passat;1.6 FSi Comfortline;2008.0;304000;Yarı Otomatik;Benzin;;1500.5;113.0;Sedan;1 değişen, 6 boyalı;13.34550852871726
1475000.0;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2015.0;149000;Otomatik;Dizel;;1500.5;113.0;Sedan;3 boyalı;14.204169225721929
877000.0;Volkswagen;Golf;1.4 TSi Comfortline;2009.0;196000;Yarı Otomatik;Benzin;;1390.0;122.0;Hatchback/5;2 değişen, 1 boyalı;13.684263411604524
1135000.0;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2012.0;144000;Yarı Otomatik;Dizel;;1598.0;105.0;Sedan;Tamamı orjinal;13.94214408995452
410000.0;Volkswagen;Bora;1.6 Comfortline;2004.0;285000;Düz;Dizel;;1595.0;102.0;Sedan;1 değişen, 4 boyalı;12.923914877701906
1085000.0;Volkswagen;Polo;1.2 TSi Comfortline;2015.0;62250;Otomatik;Benzin;;1200.0;88.0;Hatchback/5;Tamamı orjinal;13.897091466615258
980000.0;Volkswagen;Jetta;1.6 TDi Comfortline;2015.0;243000;Otomatik;Dizel;;1500.5;113.0;Sedan;Belirtilmemiş;13.795308871054395
849000.0;Volkswagen;Jetta;1.2 TSi Trendline;2015.0;175000;Otomatik;Benzin;;1200.0;113.0;Sedan;Tamamı orjinal;13.651815643149092
1070000.0;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2013.0;213000;Otomatik;Dizel;;1500.5;113.0;Sedan;1 değişen, 6 boyalı;13.883170141017091
915000.0;Volkswagen;Passat;1.6 TDi BlueMotion Comfortline;2014.0;410000;Otomatik;Dizel;;1500.5;113.0;Sedan;2 değişen, 6 boyalı;13.726680437153236
